additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,short_name,character,unicodes
,,61,10023B,FALSE,,,,,,arrow.up.doc,􀈻,XXXXX
,,62,10023C,FALSE,,,,,,arrow.up.doc.fill,􀈼,XXXXX
,,63,10023D,FALSE,,,,,,arrow.down.doc,􀈽,XXXXX
,,64,10023E,FALSE,,,,,,arrow.down.doc.fill,􀈾,XXXXX
,objects & tools,64,100221,FALSE,,,send.circle,,,paperplane.circle,􀈡,XXXXX
,,65,10023F,FALSE,,,plain.text.document,,,doc.text,􀈿,XXXXX
,objects & tools,65,100222,FALSE,,,send.circle.fill,,,paperplane.circle.fill,􀈢,XXXXX
,,66,100240,FALSE,,,plain.text.document.fill,,,doc.text.fill,􀉀,XXXXX
,,67,100241,FALSE,,,copy,documents,,doc.on.doc,􀉁,XXXXX
,,68,100242,FALSE,,,copy.fill,documents.fill,,doc.on.doc.fill,􀉂,XXXXX
,objects & tools,68,10048C,FALSE,,,mailbox.circle,,,tray.circle,􀒌,XXXXX
,,69,100243,FALSE,,,paste,,,doc.on.clipboard,􀉃,XXXXX
,objects & tools,69,10048D,FALSE,,,mailbox.circle.fill,,,tray.circle.fill,􀒍,XXXXX
,,70,100244,FALSE,,,paste.fill,,,doc.on.clipboard.fill,􀉄,XXXXX
,,71,100245,FALSE,,,rich.text.document,,,doc.richtext,􀉅,XXXXX
,,72,100246,FALSE,,,,,,doc.plaintext,􀉆,XXXXX
,,73,100247,FALSE,,,,,,doc.append,􀉇,XXXXX
,,74,100579,FALSE,,,search.document,,,doc.text.magnifyingglass,􀕹,NO
,objects & tools,76,100249,FALSE,,,calendar,,,calendar,􀉉,XXXXX
,objects & tools,77,10048E,FALSE,,,calendar.circle,,,calendar.circle,􀒎,NO
,objects & tools,78,10048F,FALSE,,,calendar.circle.fill,,,calendar.circle.fill,􀒏,NO
,objects & tools,78,100902,FALSE,,,,,,externaldrive,􀤂,XXXXX
