additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,private,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,semantic_name_4,semantic_name_5,semantic_name_6,semantic_name_7,semantic_name_8,short_name,aliases,character,unicodes,availability
,media,706,100735,TRUE,FALSE,,,,,,,,,,,goforward.30.ar,,􀜵,XXXXX,2019
,media,707,100736,TRUE,FALSE,,,,,,,,,,,gobackward.30.ar,,􀜶,XXXXX,2019
,media,708,100737,TRUE,FALSE,,,,,,,,,,,goforward.45.ar,,􀜷,XXXXX,2019
,media,709,100738,TRUE,FALSE,,,,,,,,,,,gobackward.45.ar,,􀜸,XXXXX,2019
,media,710,100739,TRUE,FALSE,,,,,,,,,,,goforward.60.ar,,􀜹,XXXXX,2019
,media,711,10073A,TRUE,FALSE,,,,,,,,,,,gobackward.60.ar,,􀜺,XXXXX,2019
,media,712,10073B,TRUE,FALSE,,,,,,,,,,,goforward.75.ar,,􀜻,XXXXX,2019
,media,713,10073C,TRUE,FALSE,,,,,,,,,,,gobackward.75.ar,,􀜼,XXXXX,2019
,media,714,10073D,TRUE,FALSE,,,,,,,,,,,goforward.90.ar,,􀜽,XXXXX,2019
,media,715,10073E,TRUE,FALSE,,,,,,,,,,,gobackward.90.ar,,􀜾,XXXXX,2019
,media,718,1007A4,TRUE,FALSE,,,,,,,,,,,goforward.10.hi,,􀞤,XXXXX,2019
,media,719,1007A5,TRUE,FALSE,,,,,,,,,,,gobackward.10.hi,,􀞥,XXXXX,2019
,media,720,1007A6,TRUE,FALSE,,,,,,,,,,,goforward.15.hi,,􀞦,XXXXX,2019
,media,721,1007A7,TRUE,FALSE,,,,,,,,,,,gobackward.15.hi,,􀞧,XXXXX,2019
,media,722,1007A8,TRUE,FALSE,,,,,,,,,,,goforward.30.hi,,􀞨,XXXXX,2019
,media,723,1007A9,TRUE,FALSE,,,,,,,,,,,gobackward.30.hi,,􀞩,XXXXX,2019
,media,724,1007AA,TRUE,FALSE,,,,,,,,,,,goforward.45.hi,,􀞪,XXXXX,2019
,media,725,1007AB,TRUE,FALSE,,,,,,,,,,,gobackward.45.hi,,􀞫,XXXXX,2019
,media,726,1007AC,TRUE,FALSE,,,,,,,,,,,goforward.60.hi,,􀞬,XXXXX,2019
,media,727,1007AD,TRUE,FALSE,,,,,,,,,,,gobackward.60.hi,,􀞭,XXXXX,2019
,media,728,1007AE,TRUE,FALSE,,,,,,,,,,,goforward.75.hi,,􀞮,XXXXX,2019
,media,729,1007AF,TRUE,FALSE,,,,,,,,,,,gobackward.75.hi,,􀞯,XXXXX,2019
,media,730,1007B0,TRUE,FALSE,,,,,,,,,,,goforward.90.hi,,􀞰,XXXXX,2019
,media,731,1007B1,TRUE,FALSE,,,,,,,,,,,gobackward.90.hi,,􀞱,XXXXX,2019
"+, add",media,732,100628,TRUE,FALSE,,,+,add,,,,,,,goforward.plus,,􀘨,XXXXX,2019
-,media,733,100629,TRUE,FALSE,,,-,,,,,,,,gobackward.minus,,􀘩,XXXXX,2019
,,734,100ACA,TRUE,FALSE,This symbol may not be modified and may only be used to refer to Apple’s Swift programming language.,,,,,,,,,,swift,,􀫊,XXXXX,2020
search,objectsandtools,735,1002AB,TRUE,FALSE,,,search,,,,,,,,magnifyingglass,,􀊫,XXXXX,2019
"search, search.circle",objectsandtools,736,100492,TRUE,FALSE,,,search,search.circle,,,,,,,magnifyingglass.circle,,􀒒,XXXXX,2019
"search, search.circle.fill","multicolor, objectsandtools",737,100493,TRUE,FALSE,,,search,search.circle.fill,,,,,,,magnifyingglass.circle.fill,,􀒓,XXXXX,2019
"+, zoom in, zoom.in",objectsandtools,738,1002AC,TRUE,FALSE,,,+,zoom in,zoom.in,,,,,,plus.magnifyingglass,,􀊬,XXXXX,2019
"-, zoom out, zoom.out",objectsandtools,739,1002AD,TRUE,FALSE,,,-,zoom out,zoom.out,,,,,,minus.magnifyingglass,,􀊭,XXXXX,2019
zoom.to.actual.size,objectsandtools,740,1002AE,TRUE,FALSE,,ar,zoom.to.actual.size,,,,,,,,1.magnifyingglass,,􀊮,XXXXX,2019
,objectsandtools,743,100969,TRUE,FALSE,,,,,,,,,,,arrow.up.left.and.down.right.magnifyingglass,,􀥩,XXXXX,2020
,objectsandtools,744,100B65,TRUE,FALSE,,,,,,,,,,,text.magnifyingglass,,􀭥,XXXXX,2020
,editing,746,10090E,TRUE,FALSE,,,,,,,,,,,loupe,,􀤎,XXXXX,2020
"dictate, dictation, microphone","communication, multicolor",747,1002B0,TRUE,FALSE,,,dictate,dictation,microphone,,,,,,mic,,􀊰,XXXXX,2019
"dictate, dictation, microphone.fill","communication, multicolor",748,1002B1,TRUE,FALSE,,,dictate,dictation,microphone.fill,,,,,,mic.fill,,􀊱,XXXXX,2019
"dictate, dictation, microphone.circle","communication, multicolor",749,1004A9,TRUE,FALSE,,,dictate,dictation,microphone.circle,,,,,,mic.circle,,􀒩,XXXXX,2019
"dictate, dictation, microphone.circle.fill","communication, multicolor",750,1004AA,TRUE,FALSE,,,dictate,dictation,microphone.circle.fill,,,,,,mic.circle.fill,,􀒪,XXXXX,2019
"dictate, dictation","communication, multicolor, whatsnew",751,100F3F,TRUE,FALSE,,,dictate,dictation,,,,,,,mic.square,,􀼿,XXXXX,2021
"dictate, dictation","communication, multicolor, whatsnew",752,100F40,TRUE,FALSE,,,dictate,dictation,,,,,,,mic.square.fill,,􀽀,XXXXX,2021
"microphone.off, remove",communication,753,1002B2,TRUE,FALSE,,,microphone.off,remove,,,,,,,mic.slash,,􀊲,XXXXX,2019
"microphone.off.fill, remove",communication,754,1002B3,TRUE,FALSE,,,microphone.off.fill,remove,,,,,,,mic.slash.fill,,􀊳,XXXXX,2019
,"communication, whatsnew",755,100EE9,TRUE,FALSE,,,,,,,,,,,mic.slash.circle,,􀻩,XXXXX,2021
,"communication, multicolor, whatsnew",756,100EEA,TRUE,FALSE,,,,,,,,,,,mic.slash.circle.fill,,􀻪,XXXXX,2021
,"communication, multicolor, whatsnew",757,1.00E+83,TRUE,FALSE,,,,,,,,,,,mic.badge.plus,,􀺁,XXXXX,2021
,"communication, multicolor, whatsnew",758,1.00E+84,TRUE,FALSE,,,,,,,,,,,mic.fill.badge.plus,,􀺂,XXXXX,2021
,,759,100AF0,TRUE,FALSE,,,,,,,,,,,line.diagonal,,􀫰,XXXXX,2020
,,760,100AF1,TRUE,FALSE,,,,,,,,,,,line.diagonal.arrow,,􀫱,XXXXX,2020
,shapes,761,100000,TRUE,FALSE,,,,,,,,,,,circle,,􀀀,XXXXX,2019
,shapes,762,100001,TRUE,FALSE,,,,,,,,,,,circle.fill,,􀀁,XXXXX,2019
,whatsnew,763,100EC3,TRUE,FALSE,,,,,,,,,,,circle.slash,,􀻃,XXXXX,2021
,whatsnew,764,100EC4,TRUE,FALSE,,,,,,,,,,,circle.slash.fill,,􀻄,XXXXX,2021
,"editing, whatsnew",765,100002,TRUE,FALSE,,,,,,,,,,,circle.lefthalf.filled,circle.lefthalf.fill,􀀂,XXXXX,2021
,"editing, whatsnew",766,100003,TRUE,FALSE,,,,,,,,,,,circle.righthalf.filled,circle.righthalf.fill,􀀃,XXXXX,2021
,whatsnew,767,100A97,TRUE,FALSE,,,,,,,,,,,circle.tophalf.filled,circle.tophalf.fill,􀪗,XXXXX,2021
,whatsnew,768,100A96,TRUE,FALSE,,,,,,,,,,,circle.bottomhalf.filled,circle.bottomhalf.fill,􀪖,XXXXX,2021
"completed, task",whatsnew,769,10075C,TRUE,FALSE,,,completed,task,,,,,,,circle.inset.filled,largecircle.fill.circle,􀝜,XXXXX,2021
vignette.circle,,770,100377,TRUE,FALSE,,,vignette.circle,,,,,,,,smallcircle.fill.circle,dot.circle,􀍷,XXXXX,2019
vignette.circle.fill,multicolor,771,100569,TRUE,FALSE,,,vignette.circle.fill,,,,,,,,smallcircle.fill.circle.fill,dot.circle.fill,􀕩,XXXXX,2019
circular.selection,editing,772,1004DE,TRUE,FALSE,,,circular.selection,,,,,,,,circle.dashed,,􀓞,XXXXX,2020
,"editing, whatsnew",773,1009D2,TRUE,FALSE,,,,,,,,,,,circle.dashed.inset.filled,circle.dashed.inset.fill,􀧒,XXXXX,2021
,,774,1009D9,TRUE,FALSE,,,,,,,,,,,circlebadge,,􀧙,XXXXX,2020
,multicolor,775,10071E,TRUE,FALSE,,,,,,,,,,,circlebadge.fill,,􀜞,XXXXX,2020
,,778,10056A,TRUE,FALSE,,,,,,,,,,,smallcircle.circle,ring.circle,􀕪,XXXXX,2019
,multicolor,779,10056B,TRUE,FALSE,,,,,,,,,,,smallcircle.circle.fill,ring.circle.fill,􀕫,XXXXX,2019
,,780,10088A,TRUE,FALSE,,,,,,,,,,,target,,􀢊,XXXXX,2020
,shapes,781,100776,TRUE,FALSE,,,,,,,,,,,capsule,,􀝶,XXXXX,2019
,shapes,782,100777,TRUE,FALSE,,,,,,,,,,,capsule.fill,,􀝷,XXXXX,2019
,whatsnew,783,100FF3,TRUE,FALSE,,,,,,,,,,,capsule.lefthalf.filled,,􀿳,XXXXX,2021
,whatsnew,784,100FF4,TRUE,FALSE,,,,,,,,,,,capsule.righthalf.filled,,􀿴,XXXXX,2021
,whatsnew,785,100FF5,TRUE,FALSE,,,,,,,,,,,capsule.tophalf.filled,,􀿵,XXXXX,2021
,whatsnew,786,100FF6,TRUE,FALSE,,,,,,,,,,,capsule.bottomhalf.filled,,􀿶,XXXXX,2021
,whatsnew,787,100F9A,TRUE,FALSE,,,,,,,,,,,capsule.inset.filled,,􀾚,XXXXX,2021
,shapes,788,1009F6,TRUE,FALSE,,,,,,,,,,,capsule.portrait,,􀧶,XXXXX,2020
,shapes,789,1009F7,TRUE,FALSE,,,,,,,,,,,capsule.portrait.fill,,􀧷,XXXXX,2020
,whatsnew,790,100FF7,TRUE,FALSE,,,,,,,,,,,capsule.portrait.lefthalf.filled,,􀿷,XXXXX,2021
,whatsnew,791,100FF8,TRUE,FALSE,,,,,,,,,,,capsule.portrait.righthalf.filled,,􀿸,XXXXX,2021
,whatsnew,792,100FF9,TRUE,FALSE,,,,,,,,,,,capsule.portrait.tophalf.filled,,􀿹,XXXXX,2021
,whatsnew,793,100FFA,TRUE,FALSE,,,,,,,,,,,capsule.portrait.bottomhalf.filled,,􀿺,XXXXX,2021
,whatsnew,794,100F9B,TRUE,FALSE,,,,,,,,,,,capsule.portrait.inset.filled,,􀾛,XXXXX,2021
,whatsnew,797,100FFB,TRUE,FALSE,,,,,,,,,,,oval.lefthalf.filled,,􀿻,XXXXX,2021
,whatsnew,798,100FFC,TRUE,FALSE,,,,,,,,,,,oval.righthalf.filled,,􀿼,XXXXX,2021
,whatsnew,799,100FFD,TRUE,FALSE,,,,,,,,,,,oval.tophalf.filled,,􀿽,XXXXX,2021
,whatsnew,800,100FFE,TRUE,FALSE,,,,,,,,,,,oval.bottomhalf.filled,,􀿾,XXXXX,2021
,whatsnew,801,100F9C,TRUE,FALSE,,,,,,,,,,,oval.inset.filled,,􀾜,XXXXX,2021
,whatsnew,804,100FFF,TRUE,FALSE,,,,,,,,,,,oval.portrait.lefthalf.filled,,􀿿,XXXXX,2021
,whatsnew,805,101000,TRUE,FALSE,,,,,,,,,,,oval.portrait.righthalf.filled,,􁀀,XXXXX,2021
,whatsnew,806,101001,TRUE,FALSE,,,,,,,,,,,oval.portrait.tophalf.filled,,􁀁,XXXXX,2021
,whatsnew,807,101002,TRUE,FALSE,,,,,,,,,,,oval.portrait.bottomhalf.filled,,􁀂,XXXXX,2021
,whatsnew,808,100F9D,TRUE,FALSE,,,,,,,,,,,oval.portrait.inset.filled,,􀾝,XXXXX,2021
,,809,100BB7,TRUE,FALSE,,,,,,,,,,,placeholdertext.fill,,􀮷,XXXXX,2020
,shapes,810,100092,TRUE,FALSE,,,,,,,,,,,square,,􀂒,XXXXX,2019
,shapes,811,100093,TRUE,FALSE,,,,,,,,,,,square.fill,,􀂓,XXXXX,2019
remove,,812,1.01E+09,TRUE,FALSE,,,remove,,,,,,,,square.slash,,􀣦,XXXXX,2020
remove,,813,1.01E+10,TRUE,FALSE,,,remove,,,,,,,,square.slash.fill,,􀣧,XXXXX,2020
,whatsnew,814,100693,TRUE,FALSE,,,,,,,,,,,square.lefthalf.filled,square.lefthalf.fill,􀚓,XXXXX,2021
,whatsnew,815,100694,TRUE,FALSE,,,,,,,,,,,square.righthalf.filled,square.righthalf.fill,􀚔,XXXXX,2021
,whatsnew,816,100A9B,TRUE,FALSE,,,,,,,,,,,square.tophalf.filled,square.tophalf.fill,􀪛,XXXXX,2021
,whatsnew,817,100A9A,TRUE,FALSE,,,,,,,,,,,square.bottomhalf.filled,square.bottomhalf.fill,􀪚,XXXXX,2021
,whatsnew,818,100F98,TRUE,FALSE,,,,,,,,,,,square.inset.filled,,􀾘,XXXXX,2021
,,819,1.00E+03,TRUE,FALSE,,,,,,,,,,,square.split.2x1,,􀏠,XXXXX,2019
,,820,10061C,TRUE,FALSE,,,,,,,,,,,square.split.2x1.fill,,􀘜,XXXXX,2019
,,821,100570,TRUE,FALSE,,,,,,,,,,,square.split.1x2,,􀕰,XXXXX,2019
,,822,100571,TRUE,FALSE,,,,,,,,,,,square.split.1x2.fill,,􀕱,XXXXX,2019
,,823,10056E,TRUE,FALSE,,,,,,,,,,,square.split.2x2,,􀕮,XXXXX,2019
,,824,10056F,TRUE,FALSE,,,,,,,,,,,square.split.2x2.fill,,􀕯,XXXXX,2019
,,825,100572,TRUE,FALSE,,,,,,,,,,,square.split.diagonal.2x2,,􀕲,XXXXX,2020
,,826,100573,TRUE,FALSE,,,,,,,,,,,square.split.diagonal.2x2.fill,,􀕳,XXXXX,2020
,,827,100857,TRUE,FALSE,,,,,,,,,,,square.split.diagonal,,􀡗,XXXXX,2020
,,828,100858,TRUE,FALSE,,,,,,,,,,,square.split.diagonal.fill,,􀡘,XXXXX,2020
,,829,100574,TRUE,FALSE,,,,,,,,,,,dot.square,,􀕴,XXXXX,2019
,,830,100575,TRUE,FALSE,,,,,,,,,,,dot.square.fill,,􀕵,XXXXX,2019
,gaming,831,1009FA,TRUE,FALSE,,,,,,,,,,,circle.square,,􀧺,XXXXX,2020
,gaming,832,1009FB,TRUE,FALSE,,,,,,,,,,,circle.fill.square.fill,,􀧻,XXXXX,2020
rectangular.selection,editing,833,1004D4,TRUE,FALSE,,,rectangular.selection,,,,,,,,square.dashed,,􀓔,XXXXX,2020
,"editing, whatsnew",834,1009D1,TRUE,FALSE,,ar,,,,,,,,,square.dashed.inset.filled,square.dashed.inset.fill,􀧑,XXXXX,2021
,,835,100B49,TRUE,FALSE,,,,,,,,,,,questionmark.square.dashed,,􀭉,XXXXX,2020
,,837,100405,TRUE,FALSE,,,,,,,,,,,square.on.square,,􀐅,XXXXX,2019
,,838,100406,TRUE,FALSE,,,,,,,,,,,square.fill.on.square.fill,square.on.square.fill,􀐆,XXXXX,2019
,whatsnew,839,100ADD,TRUE,FALSE,,,,,,,,,,,square.filled.on.square,square.fill.on.square,􀫝,XXXXX,2021
,whatsnew,840,100C19,TRUE,FALSE,,,,,,,,,,,sparkles.square.filled.on.square,sparkles.square.fill.on.square,􀰙,XXXXX,2021
,,841,100BC7,TRUE,FALSE,,,,,,,,,,,square.on.square.dashed,,􀯇,XXXXX,2020
"add, duplicate",,842,100407,TRUE,FALSE,,,add,duplicate,,,,,,,plus.square.on.square,,􀐇,XXXXX,2019
"add, duplicate.fill",,843,100408,TRUE,FALSE,,,add,duplicate.fill,,,,,,,plus.square.fill.on.square.fill,plus.square.on.square.fill,􀐈,XXXXX,2019
shape,,844,100409,TRUE,FALSE,,,shape,,,,,,,,square.on.circle,,􀐉,XXXXX,2019
shape.fill,,845,10040A,TRUE,FALSE,,,shape.fill,,,,,,,,square.fill.on.circle.fill,square.on.circle.fill,􀐊,XXXXX,2019
,,846,100B58,TRUE,FALSE,,,,,,,,,,,r.square.on.square,,􀭘,XXXXX,2020
,whatsnew,847,100B59,TRUE,FALSE,,,,,,,,,,,r.square.on.square.fill,r.square.fill.on.square.fill,􀭙,XXXXX,2021
,,848,100B5A,TRUE,FALSE,,,,,,,,,,,j.square.on.square,,􀭚,XXXXX,2020
,whatsnew,849,100B5B,TRUE,FALSE,,,,,,,,,,,j.square.on.square.fill,j.square.fill.on.square.fill,􀭛,XXXXX,2021
,,850,100B5C,TRUE,FALSE,,,,,,,,,,,h.square.on.square,,􀭜,XXXXX,2020
,whatsnew,851,100B5D,TRUE,FALSE,,,,,,,,,,,h.square.on.square.fill,h.square.fill.on.square.fill,􀭝,XXXXX,2021
album,,852,10040B,TRUE,FALSE,,,album,,,,,,,,square.stack,,􀐋,XXXXX,2019
album,,853,10040C,TRUE,FALSE,,,album,,,,,,,,square.stack.fill,,􀐌,XXXXX,2019
,,854,1008EE,TRUE,FALSE,,,,,,,,,,,squareshape,,􀣮,XXXXX,2020
,,855,1008EF,TRUE,FALSE,,,,,,,,,,,squareshape.fill,,􀣯,XXXXX,2020
,,856,100A62,TRUE,FALSE,,,,,,,,,,,squareshape.dashed.squareshape,,􀩢,XXXXX,2020
,,857,100AF4,TRUE,FALSE,,,,,,,,,,,squareshape.squareshape.dashed,,􀫴,XXXXX,2020
,,858,100AB5,TRUE,FALSE,,,,,,,,,,,dot.squareshape,,􀪵,XXXXX,2020
,,859,100AB6,TRUE,FALSE,,,,,,,,,,,dot.squareshape.fill,,􀪶,XXXXX,2020
,shapes,860,10044B,TRUE,FALSE,,,,,,,,,,,app,,􀑋,XXXXX,2019
,shapes,861,10044C,TRUE,FALSE,,,,,,,,,,,app.fill,,􀑌,XXXXX,2019
,shapes,862,1003C3,TRUE,FALSE,,,,,,,,,,,rectangle,,􀏃,XXXXX,2019
,shapes,863,1003C4,TRUE,FALSE,,,,,,,,,,,rectangle.fill,,􀏄,XXXXX,2019
remove,,864,1.01E+07,TRUE,FALSE,,,remove,,,,,,,,rectangle.slash,,􀣤,XXXXX,2020
remove,,865,1.01E+08,TRUE,FALSE,,,remove,,,,,,,,rectangle.slash.fill,,􀣥,XXXXX,2020
,whatsnew,866,100936,TRUE,FALSE,,,,,,,,,,,rectangle.lefthalf.filled,rectangle.lefthalf.fill,􀤶,XXXXX,2021
,whatsnew,867,100937,TRUE,FALSE,,,,,,,,,,,rectangle.righthalf.filled,rectangle.righthalf.fill,􀤷,XXXXX,2021
,whatsnew,868,100FEF,TRUE,FALSE,,,,,,,,,,,rectangle.tophalf.filled,,􀿯,XXXXX,2021
,whatsnew,869,100FF0,TRUE,FALSE,,,,,,,,,,,rectangle.bottomhalf.filled,,􀿰,XXXXX,2021
,,870,1009C8,TRUE,FALSE,,,,,,,,,,,rectangle.split.2x1,,􀧈,XXXXX,2020
,,871,1009C9,TRUE,FALSE,,,,,,,,,,,rectangle.split.2x1.fill,,􀧉,XXXXX,2020
,whatsnew,872,100F8A,TRUE,FALSE,,,,,,,,,,,rectangle.split.2x1.slash,,􀾊,XXXXX,2021
,whatsnew,873,100F8B,TRUE,FALSE,,,,,,,,,,,rectangle.split.2x1.slash.fill,,􀾋,XXXXX,2021
,,874,1009CA,TRUE,FALSE,,,,,,,,,,,rectangle.split.1x2,,􀧊,XXXXX,2020
,,875,1009CB,TRUE,FALSE,,,,,,,,,,,rectangle.split.1x2.fill,,􀧋,XXXXX,2020
column.view,,876,1003DF,TRUE,FALSE,,,column.view,,,,,,,,rectangle.split.3x1,,􀏟,XXXXX,2019
column.view.fill,,877,100578,TRUE,FALSE,,,column.view.fill,,,,,,,,rectangle.split.3x1.fill,,􀕸,XXXXX,2019
,,878,1009CC,TRUE,FALSE,,,,,,,,,,,rectangle.split.2x2,,􀧌,XXXXX,2020
,,879,1009CD,TRUE,FALSE,,,,,,,,,,,rectangle.split.2x2.fill,,􀧍,XXXXX,2020
table,,880,1.00E+06,TRUE,FALSE,,,table,,,,,,,,tablecells,table,􀏣,XXXXX,2020
table.fill,,881,1.00E+07,TRUE,FALSE,,,table.fill,,,,,,,,tablecells.fill,table.fill,􀏤,XXXXX,2020
edit.table,,882,1.00E+08,TRUE,FALSE,,,edit.table,,,,,,,,tablecells.badge.ellipsis,table.badge.more,􀏥,XXXXX,2020
edit.table,whatsnew,883,1.00E+09,TRUE,FALSE,,,edit.table,,,,,,,,tablecells.fill.badge.ellipsis,table.badge.more.fill,􀏦,XXXXX,2021
grid.view,,884,1.00E+05,TRUE,FALSE,,,grid.view,,,,,,,,rectangle.split.3x3,,􀏢,XXXXX,2019
,,885,100933,TRUE,FALSE,,,,,,,,,,,rectangle.inset.fill,,􀤳,XXXXX,2020
,whatsnew,886,100FAE,TRUE,FALSE,,,,,,,,,,,rectangle.tophalf.inset.filled,,􀾮,XXXXX,2021
,whatsnew,887,100FAF,TRUE,FALSE,,,,,,,,,,,rectangle.bottomhalf.inset.filled,,􀾯,XXXXX,2021
,whatsnew,888,100934,TRUE,FALSE,,,,,,,,,,,rectangle.lefthalf.inset.filled,rectangle.lefthalf.inset.fill,􀤴,XXXXX,2021
,whatsnew,889,100935,TRUE,FALSE,,,,,,,,,,,rectangle.righthalf.inset.filled,rectangle.righthalf.inset.fill,􀤵,XXXXX,2021
,whatsnew,890,101063,TRUE,FALSE,,,,,,,,,,,rectangle.leadinghalf.inset.filled,,􁁣,XXXXX,2021
,whatsnew,891,101064,TRUE,FALSE,,,,,,,,,,,rectangle.trailinghalf.inset.filled,,􁁤,XXXXX,2021
,whatsnew,892,10095E,TRUE,FALSE,,,,,,,,,,,rectangle.lefthalf.inset.filled.arrow.left,rectangle.lefthalf.inset.fill.arrow.left,􀥞,XXXXX,2021
,whatsnew,893,10095F,TRUE,FALSE,,,,,,,,,,,rectangle.righthalf.inset.filled.arrow.right,rectangle.righthalf.inset.fill.arrow.right,􀥟,XXXXX,2021
,whatsnew,894,101065,TRUE,FALSE,,,,,,,,,,,rectangle.leadinghalf.inset.filled.arrow.leading,,􁁥,XXXXX,2021
,whatsnew,895,101066,TRUE,FALSE,,,,,,,,,,,rectangle.trailinghalf.inset.filled.arrow.trailing,,􁁦,XXXXX,2021
,whatsnew,896,100D0A,TRUE,FALSE,,,,,,,,,,,rectangle.topthird.inset.filled,rectangle.topthird.inset,􀴊,XXXXX,2021
,whatsnew,897,100A28,TRUE,FALSE,,,,,,,,,,,rectangle.bottomthird.inset.filled,rectangle.bottomthird.inset.fill,􀨨,XXXXX,2021
,whatsnew,898,100A31,TRUE,FALSE,,,,,,,,,,,rectangle.leftthird.inset.filled,rectangle.leftthird.inset.fill,􀨱,XXXXX,2021
,whatsnew,899,100A29,TRUE,FALSE,,,,,,,,,,,rectangle.rightthird.inset.filled,rectangle.rightthird.inset.fill,􀨩,XXXXX,2021
,whatsnew,900,101067,TRUE,FALSE,,,,,,,,,,,rectangle.leadingthird.inset.filled,,􁁧,XXXXX,2021
,whatsnew,901,101068,TRUE,FALSE,,,,,,,,,,,rectangle.trailingthird.inset.filled,,􁁨,XXXXX,2021
,whatsnew,902,10095D,TRUE,FALSE,,,,,,,,,,,rectangle.center.inset.filled,rectangle.center.inset.fill,􀥝,XXXXX,2021
,whatsnew,903,100B73,TRUE,FALSE,,,,,,,,,,,rectangle.inset.topleft.filled,rectangle.inset.topleft.fill,􀭳,XXXXX,2021
,whatsnew,904,100B74,TRUE,FALSE,,,,,,,,,,,rectangle.inset.topright.filled,rectangle.inset.topright.fill,􀭴,XXXXX,2021
,whatsnew,905,101069,TRUE,FALSE,,,,,,,,,,,rectangle.inset.topleading.filled,,􁁩,XXXXX,2021
,whatsnew,906,10106A,TRUE,FALSE,,,,,,,,,,,rectangle.inset.toptrailing.filled,,􁁪,XXXXX,2021
,whatsnew,907,100B75,TRUE,FALSE,,,,,,,,,,,rectangle.inset.bottomleft.filled,rectangle.inset.bottomleft.fill,􀭵,XXXXX,2021
,whatsnew,908,100B76,TRUE,FALSE,,,,,,,,,,,rectangle.inset.bottomright.filled,rectangle.inset.bottomright.fill,􀭶,XXXXX,2021
,whatsnew,909,10106B,TRUE,FALSE,,,,,,,,,,,rectangle.inset.bottomleading.filled,,􁁫,XXXXX,2021
,whatsnew,910,10106C,TRUE,FALSE,,,,,,,,,,,rectangle.inset.bottomtrailing.filled,,􁁬,XXXXX,2021
screen.sharing,gaming,911,1.00E+10,TRUE,FALSE,,,screen.sharing,,,,,,,,rectangle.on.rectangle,,􀏧,XXXXX,2019
screen.sharing.fill,gaming,912,1.00E+11,TRUE,FALSE,,,screen.sharing.fill,,,,,,,,rectangle.fill.on.rectangle.fill,rectangle.on.rectangle.fill,􀏨,XXXXX,2019
,"gaming, whatsnew",913,10093D,TRUE,FALSE,,,,,,,,,,,rectangle.on.rectangle.circle,rectangle.fill.on.rectangle.fill.circle,􀤽,XXXXX,2021
,"gaming, multicolor, whatsnew",914,10093E,TRUE,FALSE,,,,,,,,,,,rectangle.on.rectangle.circle.fill,rectangle.fill.on.rectangle.fill.circle.fill,􀤾,XXXXX,2021
,"gaming, whatsnew",915,100F4F,TRUE,FALSE,,,,,,,,,,,rectangle.on.rectangle.square,,􀽏,XXXXX,2021
,"gaming, whatsnew",916,100F50,TRUE,FALSE,,,,,,,,,,,rectangle.on.rectangle.square.fill,,􀽐,XXXXX,2021
,whatsnew,917,100DA3,TRUE,FALSE,,,,,,,,,,,rectangle.inset.filled.on.rectangle,,􀶣,XXXXX,2021
remove,,918,100940,TRUE,FALSE,,,remove,,,,,,,,rectangle.on.rectangle.slash,,􀥀,XXXXX,2020
remove,whatsnew,919,10093F,TRUE,FALSE,,,remove,,,,,,,,rectangle.on.rectangle.slash.fill,rectangle.fill.on.rectangle.fill.slash.fill,􀤿,XXXXX,2021
,whatsnew,920,100EEF,TRUE,FALSE,,,,,,,,,,,rectangle.on.rectangle.slash.circle,,􀻯,XXXXX,2021
,"multicolor, whatsnew",921,100EF0,TRUE,FALSE,,,,,,,,,,,rectangle.on.rectangle.slash.circle.fill,,􀻰,XXXXX,2021
,whatsnew,922,100FAC,TRUE,FALSE,,,,,,,,,,,play.rectangle.on.rectangle,,􀾬,XXXXX,2021
,whatsnew,923,100FAD,TRUE,FALSE,,,,,,,,,,,play.rectangle.on.rectangle.fill,,􀾭,XXXXX,2021
,whatsnew,924,1010C0,TRUE,FALSE,,,,,,,,,,,play.rectangle.on.rectangle.circle,,􁃀,XXXXX,2021
,whatsnew,925,1010C1,TRUE,FALSE,,,,,,,,,,,play.rectangle.on.rectangle.circle.fill,,􁃁,XXXXX,2021
add,,926,1.00E+12,TRUE,FALSE,,,add,,,,,,,,plus.rectangle.on.rectangle,,􀏩,XXXXX,2019
add,,927,1003EA,TRUE,FALSE,,,add,,,,,,,,plus.rectangle.fill.on.rectangle.fill,plus.rectangle.on.rectangle.fill,􀏪,XXXXX,2019
,shapes,928,1007CF,TRUE,FALSE,,,,,,,,,,,rectangle.portrait,,􀟏,XXXXX,2020
,shapes,929,1007D0,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.fill,,􀟐,XXXXX,2020
,whatsnew,930,100F86,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.slash,,􀾆,XXXXX,2021
,whatsnew,931,100F87,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.slash.fill,,􀾇,XXXXX,2021
,whatsnew,932,100FEC,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.lefthalf.filled,,􀿬,XXXXX,2021
,whatsnew,933,100FED,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.righthalf.filled,,􀿭,XXXXX,2021
,whatsnew,934,100FF1,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.tophalf.filled,,􀿱,XXXXX,2021
,whatsnew,935,100FF2,TRUE,FALSE,,,,,,,,,,,rectangle.portrait.bottomhalf.filled,,􀿲,XXXXX,2021
