additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,private,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,semantic_name_4,semantic_name_5,semantic_name_6,semantic_name_7,semantic_name_8,short_name,aliases,character,unicodes,availability
remove,"multicolor, objectsandtools, whatsnew",40,100FD4,TRUE,FALSE,,,remove,,,,,,,,trash.slash.square,,􀿔,XXXXX,2021
remove,"multicolor, objectsandtools, whatsnew",41,100FD5,TRUE,FALSE,,,remove,,,,,,,,trash.slash.square.fill,,􀿕,XXXXX,2021
move,"multicolor, objectsandtools",42,100215,TRUE,FALSE,,,move,,,,,,,,folder,,􀈕,XXXXX,2019
"move, move.fill","multicolor, objectsandtools",43,100216,TRUE,FALSE,,,move,move.fill,,,,,,,folder.fill,,􀈖,XXXXX,2019
"move, move.circle","multicolor, objectsandtools",44,100217,TRUE,FALSE,,,move,move.circle,,,,,,,folder.circle,,􀈗,XXXXX,2019
"move, move.circle.fill","multicolor, objectsandtools",45,100218,TRUE,FALSE,,,move,move.circle.fill,,,,,,,folder.circle.fill,,􀈘,XXXXX,2019
"+, add, create, new, new.folder","multicolor, objectsandtools",46,100219,TRUE,FALSE,,,+,add,create,new,new.folder,,,,folder.badge.plus,,􀈙,XXXXX,2019
"+, add, create, new, new.folder","multicolor, objectsandtools",47,10021A,TRUE,FALSE,,,+,add,create,new,new.folder,,,,folder.fill.badge.plus,folder.badge.plus.fill,􀈚,XXXXX,2019
"-, delete, new.folder, remove, subtract, −","multicolor, objectsandtools",48,10021B,TRUE,FALSE,,,-,delete,new.folder,remove,subtract,−,,,folder.badge.minus,,􀈛,XXXXX,2019
"-, delete, new.folder, remove, subtract, −","multicolor, objectsandtools",49,10021C,TRUE,FALSE,,,-,delete,new.folder,remove,subtract,−,,,folder.fill.badge.minus,folder.badge.minus.fill,􀈜,XXXXX,2019
?,"multicolor, objectsandtools",50,1009C6,TRUE,FALSE,,,?,,,,,,,,folder.badge.questionmark,,􀧆,XXXXX,2020
?,"multicolor, objectsandtools",51,1009C7,TRUE,FALSE,,,?,,,,,,,,folder.fill.badge.questionmark,,􀧇,XXXXX,2020
,"human, objectsandtools",54,10021D,TRUE,FALSE,,,,,,,,,,,folder.badge.person.crop,,􀈝,XXXXX,2019
,"human, objectsandtools",55,10021E,TRUE,FALSE,,,,,,,,,,,folder.fill.badge.person.crop,folder.badge.person.crop.fill,􀈞,XXXXX,2019
"+, add, create, new","multicolor, objectsandtools",56,1008D5,TRUE,FALSE,,,+,add,create,new,,,,,square.grid.3x1.folder.badge.plus,,􀣕,XXXXX,2020
"+, add, create, new","multicolor, objectsandtools",57,1008D6,TRUE,FALSE,,,+,add,create,new,,,,,square.grid.3x1.folder.fill.badge.plus,,􀣖,XXXXX,2020
,"objectsandtools, whatsnew",58,1008CD,TRUE,FALSE,,,,,,,,,,,folder.badge.gearshape,folder.badge.gear,􀣍,XXXXX,2021
,"objectsandtools, whatsnew",59,1008CE,TRUE,FALSE,,,,,,,,,,,folder.fill.badge.gearshape,folder.fill.badge.gear,􀣎,XXXXX,2021
add,objectsandtools,60,100930,TRUE,FALSE,,,add,,,,,,,,plus.rectangle.on.folder,,􀤰,XXXXX,2020
add,"objectsandtools, whatsnew",61,100931,TRUE,FALSE,,,add,,,,,,,,plus.rectangle.on.folder.fill,plus.rectangle.fill.on.folder.fill,􀤱,XXXXX,2021
?,objectsandtools,62,100B14,TRUE,FALSE,,,?,,,,,,,,questionmark.folder,,􀬔,XXXXX,2020
?,objectsandtools,63,100B15,TRUE,FALSE,,,?,,,,,,,,questionmark.folder.fill,,􀬕,XXXXX,2020
send,objectsandtools,66,10021F,TRUE,FALSE,,,send,,,,,,,,paperplane,,􀈟,XXXXX,2019
"send, send.fill",objectsandtools,67,100220,TRUE,FALSE,,,send,send.fill,,,,,,,paperplane.fill,,􀈠,XXXXX,2019
"send, send.circle",objectsandtools,68,100221,TRUE,FALSE,,,send,send.circle,,,,,,,paperplane.circle,,􀈡,XXXXX,2020
"send, send.circle.fill","multicolor, objectsandtools",69,100222,TRUE,FALSE,,,send,send.circle.fill,,,,,,,paperplane.circle.fill,,􀈢,XXXXX,2020
"inbox, mail, mailbox",objectsandtools,70,100223,TRUE,FALSE,,,inbox,mail,mailbox,,,,,,tray,,􀈣,XXXXX,2019
"inbox, mail, mailbox.fill",objectsandtools,71,100224,TRUE,FALSE,,,inbox,mail,mailbox.fill,,,,,,tray.fill,,􀈤,XXXXX,2019
"inbox, mail, mailbox.circle",objectsandtools,72,10048C,TRUE,FALSE,,,inbox,mail,mailbox.circle,,,,,,tray.circle,,􀒌,XXXXX,2020
"inbox, mail, mailbox.circle.fill","multicolor, objectsandtools",73,10048D,TRUE,FALSE,,,inbox,mail,mailbox.circle.fill,,,,,,tray.circle.fill,,􀒍,XXXXX,2020
"mail, outbox",objectsandtools,74,100225,TRUE,FALSE,,,mail,outbox,,,,,,,tray.and.arrow.up,,􀈥,XXXXX,2019
"mail, outbox.fill",objectsandtools,75,100226,TRUE,FALSE,,,mail,outbox.fill,,,,,,,tray.and.arrow.up.fill,,􀈦,XXXXX,2019
"inbox, mail",objectsandtools,76,100227,TRUE,FALSE,,,inbox,mail,,,,,,,tray.and.arrow.down,,􀈧,XXXXX,2019
"inbox.fill, mail",objectsandtools,77,100228,TRUE,FALSE,,,inbox.fill,mail,,,,,,,tray.and.arrow.down.fill,,􀈨,XXXXX,2019
"all.mailboxes, mail",objectsandtools,78,100229,TRUE,FALSE,,,all.mailboxes,mail,,,,,,,tray.2,,􀈩,XXXXX,2019
"all.mailboxes.fill, mail",objectsandtools,79,10022A,TRUE,FALSE,,,all.mailboxes.fill,mail,,,,,,,tray.2.fill,,􀈪,XXXXX,2019
mail,objectsandtools,80,10022B,TRUE,FALSE,,,mail,,,,,,,,tray.full,,􀈫,XXXXX,2019
mail,objectsandtools,81,10022C,TRUE,FALSE,,,mail,,,,,,,,tray.full.fill,,􀈬,XXXXX,2019
,objectsandtools,82,100902,TRUE,FALSE,,,,,,,,,,,externaldrive,,􀤂,XXXXX,2020
,objectsandtools,83,100903,TRUE,FALSE,,,,,,,,,,,externaldrive.fill,,􀤃,XXXXX,2020
"+, add, create, new","multicolor, objectsandtools",84,100A4E,TRUE,FALSE,,,+,add,create,new,,,,,externaldrive.badge.plus,,􀩎,XXXXX,2020
"+, add, create, new","multicolor, objectsandtools",85,100A52,TRUE,FALSE,,,+,add,create,new,,,,,externaldrive.fill.badge.plus,,􀩒,XXXXX,2020
remove,"multicolor, objectsandtools",86,100A4F,TRUE,FALSE,,,remove,,,,,,,,externaldrive.badge.minus,,􀩏,XXXXX,2020
remove,"multicolor, objectsandtools",87,100A53,TRUE,FALSE,,,remove,,,,,,,,externaldrive.fill.badge.minus,,􀩓,XXXXX,2020
,"multicolor, objectsandtools",88,100A50,TRUE,FALSE,,,,,,,,,,,externaldrive.badge.checkmark,,􀩐,XXXXX,2020
,"multicolor, objectsandtools",89,100A54,TRUE,FALSE,,,,,,,,,,,externaldrive.fill.badge.checkmark,,􀩔,XXXXX,2020
